plane_tail_number,start_date,end_date,city,state,country,airport_code,confidence,source,notes,more_info,mdx_page,attendee_class,charlie_present,erika_present,days_on_ground,days_before_sept10,airport_class,is_us_leg,kirk_event_in_window,kirk_event_gap_days,linked_overlap_ids,metro_area
EJM36,UNKNOWN,UNKNOWN,,,United States (operator),,no_published_legs,Same CK-file / @ProjectConstitu fleet-list add-on.,"NO PUBLISHED LEGS. EJM is the ICAO operator designator for Executive Jet Management (United States), so EJM36 reads as a CALLSIGN, not a registration - it may not be a distinct airframe at all. Carried as an empty row.",site/docs/Planes/T7ELL-EJM36.mdx,,UNKNOWN,unknown,unknown,,,UNKNOWN,no,,,,UNKNOWN
SU-BGM,2025-04-16,2025-04-16,Happy Valley-Goose Bay,NL,Canada,CYYR,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Homebound tech stop, ~66 minutes on the ground. Provo-Goose Bay 4:55, departed 12:14 PM, landed 8:10 PM; Goose Bay-Paris 5:06, departed 9:16 PM, landed 7:22 AM.",site/docs/Planes/SU-BGM.mdx,site/docs/Planes/following/GooseBay_CYYR_2023-05-09_to_2025-09-13.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,147,"joint civil-military, North Atlantic tech stop",no,,,,Goose Bay NL
SU-BGM,2025-04-16,UNKNOWN,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Homebound stop. The captured screenshot for this tail ends at the Goose Bay-Paris arrival; the onward leg to Cairo is not in the capture.,site/docs/Planes/SU-BGM.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,147,business-aviation airport,no,,,,Paris FR
SU-BGM,UNKNOWN,2025-04-16,Provo,UT,USA,KPVU,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Arrival date not captured - the Flightradar24 history for this tail begins with a 0:55 Provo-Provo local flight on 10 Apr 2025, so the aircraft was already on the ramp by then. A local out-and-back is the classic post-maintenance test-flight profile.",site/docs/Planes/SU-BGM.mdx,site/docs/Planes/following/Provo_KPVU_2024-04-19_to_2025-09-13.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,147,regional / municipal (Duncan Aviation MRO),yes,,,OWENS-064,Wasatch Front UT
SU-BND,2023-05-09,2023-05-09,Happy Valley-Goose Bay,NL,Canada,CYYR,audited_accurate,"Owens sheet index 15 and its independent audit: 'Overall yes, STL to Goose Bay, GB to Paris, Paris to Cairo.'",Homebound tech stop after a Missouri stay. Earliest confirmed Goose Bay transit in the record. No times captured for this transit.,site/docs/Planes/SU-BND.mdx,site/docs/Planes/following/GooseBay_CYYR_2023-05-09_to_2025-09-13.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,855,"joint civil-military, North Atlantic tech stop",no,,,OWENS-015,Goose Bay NL
SU-BND,2024-04-19,2024-07-12,Provo,UT,USA,KPVU,audited_accurate,"Independent audit of Owens sheet index 25, correcting the sheet's claimed route.","ROUGHLY TWELVE WEEKS at Provo in 2024 - the 2024 precedent for the 113-day 2025 stay. Audit: 'No the plane didn't fly from Provo to Paris, then back to Salt Lake. Route was on 4/18 Cairo-Paris, 4/19 Paris to Goose Bay, Goose Bay to SLC, SLC to Provo. Then sat there until 12July.' SU-BTT joined it on the ramp 23-28 Apr 2024.",site/docs/Planes/SU-BND.mdx,site/docs/Planes/following/Provo_KPVU_2024-04-19_to_2025-09-13.mdx,NONE_DOCUMENTED,not_documented,not_documented,84,509,regional / municipal (Duncan Aviation MRO),yes,,,OWENS-025;OWENS-026,Wasatch Front UT
SU-BND,2024-07-17,2024-07-17,Happy Valley-Goose Bay,NL,Canada,CYYR,unresolved_conflict,Three-column researcher chronology on X: 'July 17th: BND leaves for Cairo via Goosebay and Paris.',"UNRESOLVED. The audit puts the Provo departure around 12 July 2024, five days before this claimed leg. The routing is plausible; the date is not confirmed and the two accounts disagree. Recorded unresolved rather than reconciled.",site/docs/Planes/SU-BND.mdx,site/docs/Planes/following/GooseBay_CYYR_2023-05-09_to_2025-09-13.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,420,"joint civil-military, North Atlantic tech stop",no,,,,Goose Bay NL
SU-BND,2025-05-22,2025-05-23,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Westbound crew-duty overnight. Every Le Bourget stop in the captured record is one night: arrive early afternoon, depart the following morning. No Falcon in this fleet stops at Paris eastbound - Wilmington-Cairo is flown nonstop. COUNTERARGUMENT: Le Bourget is the default European business-aviation stop and the overnight is a flight-time-limitation artefact, not a behaviour. No Kirk or TPUSA pairing has ever been claimed in France.",site/docs/Planes/SU-BND.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,111,business-aviation airport,no,,,,Paris FR
SU-BND,2025-05-23,2025-05-23,Happy Valley-Goose Bay,NL,Canada,CYYR,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","North Atlantic technical stop, ~1 hour on the ground. Paris-Goose Bay 5:48, landed 10:08 AM; Goose Bay-Minot 3:44, landed 12:50 PM. ONLY THE TWO GULFSTREAMS USE GOOSE BAY - the three Falcon 7Xs never do, in any direction, in the entire record. A range split, not a mission split.",site/docs/Planes/SU-BND.mdx,site/docs/Planes/following/GooseBay_CYYR_2023-05-09_to_2025-09-13.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,110,"joint civil-military, North Atlantic tech stop",no,,,,Goose Bay NL
SU-BND,2025-05-23,2025-05-23,Minot,ND,USA,KMOT,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","US entry, then Minot-Provo 1:52. Audit: 'Accurate - Cairo/Paris/Goose Bay/Minot/Provo on 5/22 and 5/23.'",site/docs/Planes/SU-BND.mdx,site/docs/Planes/following/Minot_KMOT_2025-04-08_to_2025-09-04.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,110,small commercial international (US customs),yes,,,,Minot ND
