vkey	basename	media_path	media_present	size	mtime	audio_path	transcription_path	transcription_source	ai_description_path	ocr_path	manifest_cid	manifest_pinned	source_url	source_author	added_date	manifest_description	source_platform	origin	mirror_dir	title_hint
1965869689755812061	1965869689755812061.mp4		none								Qmdupxi4TifTuoMz25qHPMUxP3DVz7btycwvJ1rfZZKBpq	true	https://x.com/Cashloren/status/1965869689755812061	@Cashloren	2026-07-13	Glenn Beck tells Megyn Kelly Charlie Kirk has a pulse, critical	x	manifest_only		
1965871960702828885	1965871960702828885.mp4		none								QmXSWJzgm6R5j7rWbubZgVu7y6NeMbwGHgttYzPo9Yaxhh	true	https://x.com/VigilantFox/status/1965871960702828885	@VigilantFox	2026-07-13	Eyewitness: one pop, head fell back, blood gushing from neck	x	manifest_only		
1965884012565766172	1965884012565766172.mp4		none								QmT5j43eoZcg83huMrAWJswkQke5ki2EYt8MBbCYsFBzq2	true	https://x.com/aducarrabh/status/1965884012565766172	@aducarrabh	2026-07-13	Slow-motion: object whizzes by; alleged vest ricochet to neck	x	manifest_only		
1965890646746513821	1965890646746513821.mp4		none								QmZ3a5nC4DNY4duWqoJjchf5ZPKWon34it9uxwgCETkb9p	true	https://x.com/TND/status/1965890646746513821	@TND	2026-07-13	Eyewitness: it was like a direct shot to the heart	x	manifest_only		
1965892000185725129	1965892000185725129.mp4		none								QmfRuCtidKQfFuQpimhNFhw2tNo8CajDkpHS3Fpz7Pkr3e	true	https://x.com/Bizarro_Videos/status/1965892000185725129	@Bizarro_Videos	2026-07-13	Vest-ricochet frame claim; old-man Fox heart-shot allegation	x	manifest_only		
1965913654840406034	1965913654840406034.mp4		none								QmfRuCtidKQfFuQpimhNFhw2tNo8CajDkpHS3Fpz7Pkr3e	true	https://x.com/Bizarro_Videos/status/1965913654840406034	@Bizarro_Videos	2026-07-13	Same vest-ricochet clip (reposted by same account)	x	manifest_only		
1966235480732873149	1966235480732873149.mp4		none								QmZZ4FQHmQvaMrpm1rP2EetjNK4NNfdux3hfCTmz6fd6zR	true	https://x.com/Maxwell1995Vjjo/status/1966235480732873149	@Maxwell1995Vjjo	2026-07-13	TV witness re George Zinn: one shot directly to the heart	x	manifest_only		
1966293765158560167	1966293765158560167.mp4		none								QmachmgMpySvi4cGpvpeHTDwS85PugUMY1M4NUARgyEHF2	true	https://x.com/its_The_Dr/status/1966293765158560167	@its_The_Dr	2026-07-13	Speaker: heart shot plus body-armor fragmentation-to-throat theory	x	manifest_only		
1969832388823003519	1969832388823003519.mp4		none								QmVGU5Cajy4jzWY9hDaFKg8m8niF3vwxND6L9661Fg3fxJ	true	https://x.com/MarioNawfal/status/1969832388823003519	@MarioNawfal	2026-07-13	Erika Kirk takes the torch after Charlie's assassination	x	manifest_only		
1976419242666021122	1976419242666021122.mp4	/Users/bryan/BGit/Bryan_git/charlie-kirk/videos/1976419242666021122.mp4	video	2684183	1782928889	/Users/bryan/BGit/Bryan_git/charlie-kirk/videos/1976419242666021122.mp3	/Users/bryan/BGit/Bryan_git/charlie-kirk/.lfbridge/videos/1976419242666021122.mp4.transcription	video	/Users/bryan/BGit/Bryan_git/charlie-kirk/.lfbridge/videos/1976419242666021122.mp4.ai_description		Qmf13kfzZWzZZdNfpNjiN9HhxN1VCGFvZb7ViGJYtwTHAT	true	https://x.com/DiligentDenizen/status/1976419242666021122	@DiligentDenizen	2026-07-01	Man identified as Cooper Brown reportedly stopping a TPUSA young man from testifying on camera; Fox News clip	x	videos_dir		
2002152440435781712	2002152440435781712.mp4	/Users/bryan/BGit/Bryan_git/charlie-kirk/videos/2002152440435781712.mp4	video	2080626	1783092714	/Users/bryan/BGit/Bryan_git/charlie-kirk/videos/2002152440435781712.mp3	/Users/bryan/BGit/Bryan_git/charlie-kirk/.lfbridge/videos/2002152440435781712.mp4.transcription	video	/Users/bryan/BGit/Bryan_git/charlie-kirk/.lfbridge/videos/2002152440435781712.mp4.ai_description		QmZdFUWDekCDBZcETphabnmTW4Y9vYk7EyPUJECsBXuDfo	true	https://x.com/ProjectConstitu/status/2002152440435781712	@ProjectConstitu	2026-07-03	Project Constitution video on Brian Harpole and his father Bobby Harpole; family law-enforcement, Masonic and funeral-home background	x	videos_dir		
2011947043674034660	2011947043674034660.mp4	/Users/bryan/BGit/Bryan_git/charlie-kirk/videos/2011947043674034660.mp4	video	1339701	1779645955	/Users/bryan/BGit/Bryan_git/charlie-kirk/videos/2011947043674034660.mp3	/Users/bryan/BGit/Bryan_git/charlie-kirk/.lfbridge/videos/2011947043674034660.mp4.transcription	video	/Users/bryan/BGit/Bryan_git/charlie-kirk/.lfbridge/videos/2011947043674034660.mp4.ai_description		QmYjH2fYpeCVoLK3pb3ppfeskKSP2Hjw3rToq2q945fe2Q	true	https://x.com/AMeadowInquiry/status/2011947043674034660	@AMeadowInquiry	2026-05-24	Cabot Phillips alibi video (originally posted by @cabot_phillips, mirrored in AMeadowInquiry quote-tweet alleging Fort Huachuca carpet/trim/wall match)	x	videos_dir		
2026310419405504514	2026310419405504514.mp4	/Users/bryan/BGit/Bryan_git/charlie-kirk/videos/2026310419405504514.mp4	video	2520231	1784803272												x	videos_dir		
2038934507307343872	2038934507307343872.mp4	/Users/bryan/BGit/Bryan_git/charlie-kirk/videos/2038934507307343872.mp4	video	10473150	1784803272												x	videos_dir		
2045116771431321829	2045116771431321829.mp4	/Users/bryan/BGit/Bryan_git/charlie-kirk/videos/2045116771431321829.mp4	video	6059643	1776439886	/Users/bryan/BGit/Bryan_git/charlie-kirk/videos/2045116771431321829.mp3	/Users/bryan/BGit/Bryan_git/charlie-kirk/.lfbridge/videos/2045116771431321829.mp4.transcription	video	/Users/bryan/BGit/Bryan_git/charlie-kirk/.lfbridge/videos/2045116771431321829.mp4.ai_description		Qmb49X85Y7wRdMEi7EgvEvjN3A8rdpZVvLfu2CuiSZwbwR	true	https://x.com/SteveCameronPr1/status/2045116771431321829	@SteveCameronPr1	2026-04-17	Sheriff Nate Brooksby describes Tyler Robinson surrender timeline at Washington County Sheriff Office	x	videos_dir		
2045200557531435037	2045200557531435037.mp4	/Users/bryan/BGit/Bryan_git/charlie-kirk/videos/2045200557531435037.mp4	video	130250181	1776451941		/Users/bryan/BGit/Bryan_git/charlie-kirk/.lfbridge/videos/2045200557531435037.mp4.transcription	video	/Users/bryan/BGit/Bryan_git/charlie-kirk/.lfbridge/videos/2045200557531435037.mp4.ai_description		QmeC1zcPBzgp9REfTbH7Hz1kyoL6P2kyQcYxoYTbMbLvGq	true	https://x.com/RealCandaceO/status/2045200557531435037	@RealCandaceO	2026-04-17	Candace Owens — The Tyler Robinson hearing explained; demands Trump command FBI to release discovery documents	x	videos_dir		
2045871393611395289_00001	2045871393611395289_00001.mp4	/Users/bryan/BGit/Bryan_git/charlie-kirk/videos/2045871393611395289_00001.mp4	video	8378775	1776688229	/Users/bryan/BGit/Bryan_git/charlie-kirk/videos/2045871393611395289_00001.mp3	/Users/bryan/BGit/Bryan_git/charlie-kirk/.lfbridge/videos/2045871393611395289_00001.mp4.transcription	video	/Users/bryan/BGit/Bryan_git/charlie-kirk/.lfbridge/videos/2045871393611395289_00001.mp4.ai_description		Qmcf5Dj8qouWV8m5R9MLWKb3PbqbG6Yoxqisibf9e3dcUT	true	https://x.com/ProjectConstitu/status/2045871393611395289	@ProjectConstitu	2026-04-20	FBI ignored eyewitnesses who saw shooter in all-black — construction worker Dylan Hope speaks out (video 1 of 2, short clip)	x	videos_dir		
2045871393611395289_00002	2045871393611395289_00002.mp4	/Users/bryan/BGit/Bryan_git/charlie-kirk/videos/2045871393611395289_00002.mp4	video	56460035	1776688247	/Users/bryan/BGit/Bryan_git/charlie-kirk/videos/2045871393611395289_00002.mp3	/Users/bryan/BGit/Bryan_git/charlie-kirk/.lfbridge/videos/2045871393611395289_00002.mp4.transcription	video	/Users/bryan/BGit/Bryan_git/charlie-kirk/.lfbridge/videos/2045871393611395289_00002.mp4.ai_description		QmS8nNNsdoYwnifaEmvk2iH9TLTANJMXTYdssJQY5Toygz	true	https://x.com/ProjectConstitu/status/2045871393611395289	@ProjectConstitu	2026-04-20	FBI ignored eyewitnesses who saw shooter in all-black — construction worker Dylan Hope speaks out (video 2 of 2, full interview)	x	videos_dir		
