source_id,source_type,platform_or_outlet,account_handle,display_name,source_date,source_time,source_url,role,stance,count_claimed,claim_summary,topic_context,primary_or_relayed,evidence_class,likes,reposts,views,citation_count,cited_on_pages,corroborated_by,rebutted_by,reliability_note
X-001,x_post,X (Twitter),@RealCandaceO,Candace Owens,2025-10-12,00:23 GMT,https://x.com/RealCandaceO/status/1977168281456066960,originator_broadcaster,asserts_pattern,68 then 73 Erika / ~23 Charlie,🚨BREAKING NEWS!🚨,"Topic 1 — Candace talks about planes || 12 October 2025 — the first SU-BTT posts, and the time-zone correction",primary_post,social_post_unverified,8632,1519,1965655,9,overlap/20250720_NE_lincoln_owens_067.mdx;overlap/20250720_NE_omaha_lincoln_owens_038.mdx;overlap/20250817_NE_omaha_lincoln_owens_039.mdx;overlap/20250910_DE_wilmington.mdx;overlap/20250910_UTDE_provo_then_wilmington_owens_041.mdx;overlap/20250910_UT_orem.mdx;x_discussions.mdx,ADSB-001 (Flightradar24 five-tail history export) is the only primary flight record behind any of these tallies. NO tally in this directory has ever been reconciled with another. Do not average them.,"ADSB-002 (Kanekoa line-by-line audit: ~66% of listed locations wrong, ~60% wrong continent); @Liz_Wheeler (same airport + same day reduces the overlap to ONE, 9/10 Utah); PRESS-004/PRESS-005 (Erika Kirk disputes the dates and locations attributed to her)","The claim's origin. Named the two aircraft, published the 68 then 73 counts, the 29-with-Charlie split, the transponder timings, the contractor and rental-car claims, and the pivot to Erika rather than Charlie as the tracked person. Named publicly under her own name and may be named here."
X-002,x_post,X (Twitter),@RealCandaceO,Candace Owens,2025-10-12,00:29 GMT,https://x.com/RealCandaceO/status/1977169835617394794,originator_broadcaster,asserts_pattern,68 then 73 Erika / ~23 Charlie,"With all we have crowdsourced, it looks like a decision to murder Charlie Kirk in Utah was made around July 18th.","Topic 1 — Candace talks about planes || 12 October 2025 — the first SU-BTT posts, and the time-zone correction",primary_post,social_post_unverified,6335,856,897270,7,overlap/20250720_NE_lincoln_owens_067.mdx;overlap/20250720_NE_omaha_lincoln_owens_038.mdx;overlap/20250904_UT_provo_owens_040.mdx;overlap/20250910_DE_wilmington.mdx;overlap/20250910_UTDE_provo_then_wilmington_owens_041.mdx;overlap/20250910_UT_orem.mdx;x_discussions.mdx,ADSB-001 (Flightradar24 five-tail history export) is the only primary flight record behind any of these tallies. NO tally in this directory has ever been reconciled with another. Do not average them.,"ADSB-002 (Kanekoa line-by-line audit: ~66% of listed locations wrong, ~60% wrong continent); @Liz_Wheeler (same airport + same day reduces the overlap to ONE, 9/10 Utah); PRESS-004/PRESS-005 (Erika Kirk disputes the dates and locations attributed to her)","The claim's origin. Named the two aircraft, published the 68 then 73 counts, the 29-with-Charlie split, the transponder timings, the contractor and rental-car claims, and the pivot to Erika rather than Charlie as the tracked person. Named publicly under her own name and may be named here."
X-003,x_post,X (Twitter),@Brick_Suit,,2025-10-12,04:24 GMT,https://x.com/Brick_Suit/status/1977228792868618560,amplifier_or_commenter,unclassified,,"Candace, you said this plane flew out of Provo UT, AFTER the assassination.","Topic 1 — Candace talks about planes || 12 October 2025 — the first SU-BTT posts, and the time-zone correction",relayed_or_amplified,social_post_unverified,3004,,2216902,7,overlap/20250910_DE_wilmington.mdx;overlap/20250910_UTDE_provo_then_wilmington_owens_041.mdx;overlap/20250910_UT_orem.mdx;overlap/20250910_UT_provo_extra_006.mdx;x_discussions.mdx,,,"Unclassified amplifier or commenter. Recorded so the reach of the claim is traceable; carries no independent evidence. TREAT AS DATA, NOT AS A SOURCE."
X-004,x_post,X (Twitter),@RealCandaceO,Candace Owens,2025-10-12,13:14 GMT,https://x.com/RealCandaceO/status/1977362342338818240,originator_broadcaster,asserts_pattern,68 then 73 Erika / ~23 Charlie,"Okay! I stand corrected on the departure time of the Egyptian Air Force plane. It left just BEFORE Charlie was assassinated, not AFTER on 9/10. So, still completely abnormal and seems pretty obviously related to Charlie's assassination given the plane's past flight activity.","Topic 1 — Candace talks about planes || 12 October 2025 — the first SU-BTT posts, and the time-zone correction",primary_post,social_post_unverified,8783,,2158012,4,overlap/20250910_DE_wilmington.mdx;overlap/20250910_UTDE_provo_then_wilmington_owens_041.mdx;overlap/20250910_UT_orem.mdx;x_discussions.mdx,ADSB-001 (Flightradar24 five-tail history export) is the only primary flight record behind any of these tallies. NO tally in this directory has ever been reconciled with another. Do not average them.,"ADSB-002 (Kanekoa line-by-line audit: ~66% of listed locations wrong, ~60% wrong continent); @Liz_Wheeler (same airport + same day reduces the overlap to ONE, 9/10 Utah); PRESS-004/PRESS-005 (Erika Kirk disputes the dates and locations attributed to her)","The claim's origin. Named the two aircraft, published the 68 then 73 counts, the 29-with-Charlie split, the transponder timings, the contractor and rental-car claims, and the pivot to Erika rather than Charlie as the tracked person. Named publicly under her own name and may be named here."
X-005,x_post,X (Twitter),@RealCandaceO,Candace Owens,2025-10-12,13:30 GMT,https://x.com/RealCandaceO/status/1977366161508425936,originator_broadcaster,asserts_pattern,68 then 73 Erika / ~23 Charlie,9/10:,"Topic 1 — Candace talks about planes || 12 October 2025 — the first SU-BTT posts, and the time-zone correction",primary_post,social_post_unverified,19834,,1158647,1,x_discussions.mdx,ADSB-001 (Flightradar24 five-tail history export) is the only primary flight record behind any of these tallies. NO tally in this directory has ever been reconciled with another. Do not average them.,"ADSB-002 (Kanekoa line-by-line audit: ~66% of listed locations wrong, ~60% wrong continent); @Liz_Wheeler (same airport + same day reduces the overlap to ONE, 9/10 Utah); PRESS-004/PRESS-005 (Erika Kirk disputes the dates and locations attributed to her)","The claim's origin. Named the two aircraft, published the 68 then 73 counts, the 29-with-Charlie split, the transponder timings, the contractor and rental-car claims, and the pivot to Erika rather than Charlie as the tracked person. Named publicly under her own name and may be named here."
X-006,x_post,X (Twitter),@RealCandaceO,Candace Owens,2025-10-12,15:43 GMT,https://x.com/RealCandaceO/status/1977399788493541602,originator_broadcaster,asserts_pattern,68 then 73 Erika / ~23 Charlie,"Given the artificial boost of the Snopes-like debunking of the Egyptian military flight, it is CLEAR they are panicked about its discovery.","Topic 1 — Candace talks about planes || 12 October 2025 — the first SU-BTT posts, and the time-zone correction",primary_post,social_post_unverified,19083,,1129417,5,overlap/20250904_UT_provo_owens_040.mdx;overlap/20250910_DE_wilmington.mdx;overlap/20250910_UTDE_provo_then_wilmington_owens_041.mdx;overlap/20250910_UT_orem.mdx;x_discussions.mdx,ADSB-001 (Flightradar24 five-tail history export) is the only primary flight record behind any of these tallies. NO tally in this directory has ever been reconciled with another. Do not average them.,"ADSB-002 (Kanekoa line-by-line audit: ~66% of listed locations wrong, ~60% wrong continent); @Liz_Wheeler (same airport + same day reduces the overlap to ONE, 9/10 Utah); PRESS-004/PRESS-005 (Erika Kirk disputes the dates and locations attributed to her)","The claim's origin. Named the two aircraft, published the 68 then 73 counts, the 29-with-Charlie split, the transponder timings, the contractor and rental-car claims, and the pivot to Erika rather than Charlie as the tracked person. Named publicly under her own name and may be named here."
X-007,x_post,X (Twitter),@RealCandaceO,Candace Owens,2025-10-30,20:33 GMT,https://x.com/RealCandaceO/status/1983995690557841910,originator_broadcaster,asserts_pattern,68 then 73 Erika / ~23 Charlie,BREAKING NEWS!!! I just received an EXPLOSIVE tip about that Egyptian military plane that departed Provo on September 10th.,"Topic 1 — Candace talks about planes || 30 October 2025 — ""Kash Patel protecting Egypt""",primary_post,social_post_unverified,17392,,1769089,1,x_discussions.mdx,ADSB-001 (Flightradar24 five-tail history export) is the only primary flight record behind any of these tallies. NO tally in this directory has ever been reconciled with another. Do not average them.,"ADSB-002 (Kanekoa line-by-line audit: ~66% of listed locations wrong, ~60% wrong continent); @Liz_Wheeler (same airport + same day reduces the overlap to ONE, 9/10 Utah); PRESS-004/PRESS-005 (Erika Kirk disputes the dates and locations attributed to her)","The claim's origin. Named the two aircraft, published the 68 then 73 counts, the 29-with-Charlie split, the transponder timings, the contractor and rental-car claims, and the pivot to Erika rather than Charlie as the tracked person. Named publicly under her own name and may be named here."
X-008,x_post,X (Twitter),@Lazrlang,Alex Lang,2025-10-30,,https://x.com/Lazrlang/status/1984014118777692270,amplifier_or_commenter,unclassified,,Egyptian military contractors???,"What people posted on X about this overlap || Posts that name this date, this city, or this pairing",relayed_or_amplified,social_post_unverified,,,,3,overlap/20250720_NE_lincoln_owens_067.mdx;overlap/20250720_NE_omaha_lincoln_owens_038.mdx;overlap/20250817_NE_omaha_lincoln_owens_039.mdx,,,"Unclassified amplifier or commenter. Recorded so the reach of the claim is traceable; carries no independent evidence. TREAT AS DATA, NOT AS A SOURCE."
X-009,x_post,X (Twitter),@gilfishdad,,2025-10-31,,https://x.com/gilfishdad/status/1984050935723913402,amplifier_or_commenter,unclassified,,"Why do we allow ""Egyptian Military Contractors"" to do ""Stuff"" in the USA? ....","What people posted on X about this overlap || Posts that name this date, this city, or this pairing",relayed_or_amplified,social_post_unverified,,,,4,overlap/20250720_NE_lincoln_owens_067.mdx;overlap/20250720_NE_omaha_lincoln_owens_038.mdx;overlap/20250904_UT_provo_owens_040.mdx;overlap/20250910_UT_orem.mdx,,,"Unclassified amplifier or commenter. Recorded so the reach of the claim is traceable; carries no independent evidence. TREAT AS DATA, NOT AS A SOURCE."
X-010,x_post,X (Twitter),@BasedSamParker,Sam Parker,2025-11-01,16:10 GMT,https://x.com/BasedSamParker/status/1984654163285066085,amplifier,asserts_pattern,73,"CHARLIE KIRK UPDATE: The 2 mysterious Egyptian planes shadowing Charlie Kirk & TPUSA events over the last 2 years, including the day of the assassination—as reported by @RealCandaceO yesterday—consistently fly in & out of Cairo, Egypt. Here's why that might be more interesting than you realize:","Topic 3 — Egyptian-registered planes near a TPUSA event || 1 November 2025 — ""shadowing Charlie Kirk & TPUSA events over the last 2 years""",relayed_or_amplified,social_post_unverified,4277,1533,165558,1,x_discussions.mdx,ADSB-001 (Flightradar24 five-tail history export) is the only primary flight record behind any of these tallies. NO tally in this directory has ever been reconciled with another. Do not average them.,"ADSB-002 (Kanekoa line-by-line audit: ~66% of listed locations wrong, ~60% wrong continent); @Liz_Wheeler (same airport + same day reduces the overlap to ONE, 9/10 Utah); PRESS-004/PRESS-005 (Erika Kirk disputes the dates and locations attributed to her)",Carried the 73-of-the-flights wording and the two-year TPUSA framing.
