docket_entry	pdf_url
Information, 9-16-25	https://andreaburkhart.substack.com/api/v1/file/15011912-ef6a-4cb0-9110-da11ae43c0b8.pdf
Probable Cause Affidavit, 9-16-25	https://andreaburkhart.substack.com/api/v1/file/6176388e-e453-4f96-aa18-b7417f6c3853.pdf
Public Safety Assessment Report, 9-16-25	https://andreaburkhart.substack.com/api/v1/file/3d101069-1ce7-40a7-a630-7b95ae234197.pdf
Bail Order, 9-16-25	https://andreaburkhart.substack.com/api/v1/file/5a7cca47-f738-488e-9107-6e0495524469.pdf
Return of Electronic Notification, 9-16-25	https://andreaburkhart.substack.com/api/v1/file/c31a6d84-7df7-459e-9f83-61007028a30a.pdf
Acknowledgment of Firearm Restriction, 9-16-25	https://andreaburkhart.substack.com/api/v1/file/361d1fcb-c9de-4549-8c02-78450bae7fb7.pdf
Order (Proposed) Pretrial Protective Order, 9-16-25	https://andreaburkhart.substack.com/api/v1/file/c6387776-9454-44bb-beb1-33a226b44572.pdf
Return of Electronic Notification, 9-16-25	https://andreaburkhart.substack.com/api/v1/file/35c5a943-39cf-499e-b42b-df84896ce849.pdf
State’s Notice of Intent to Seek the Death Penalty, 9-16-25	https://andreaburkhart.substack.com/api/v1/file/0de50288-75a3-4d17-981e-720a32158ce3.pdf
Request for Designation of Victim Representative, 9-16-25	https://andreaburkhart.substack.com/api/v1/file/f479c8bd-2db7-492f-957e-82923b693154.pdf
Order Pretrial Protective Order, 9-16-25	https://andreaburkhart.substack.com/api/v1/file/903f010b-5e13-4966-9bb4-36c76b544a45.pdf
Initial Appearance, 9-22-25	https://andreaburkhart.substack.com/api/v1/file/27a066c0-ece9-4514-986a-85f44487912c.pdf
Notice for Case 251403576 FS Judge: Tony F. Graf Jr., 9-23-25	https://andreaburkhart.substack.com/api/v1/file/3d3005e1-7eae-4f87-b187-f53ca8acb166.pdf
Order for Court Reporter, 9-22-25	https://andreaburkhart.substack.com/api/v1/file/bcadabfb-5b7a-402a-98e6-2b2279e60c76.pdf
Protection Order Re: Pre-Trial and Trial Publicity, 9-22-25	https://andreaburkhart.substack.com/api/v1/file/318a8e0e-652a-495d-b86f-b89a1784b365.pdf
Order to Transport, 9-24-25	https://andreaburkhart.substack.com/api/v1/file/c4357d04-b414-49e6-8e63-5baecc6c449c.pdf
Standing Decorum Order, 9-24-25	https://andreaburkhart.substack.com/api/v1/file/20aa8189-c801-47d0-8b7e-1e4a84d74983.pdf
Affidavit/Declaration Rule 8 Declaration of Kathryn N. Nester, 9-25-25	https://andreaburkhart.substack.com/api/v1/file/bf5aee24-3c96-4862-82fc-8ab02671c83f.pdf
Affidavit/Declaration Rule 8 Declaration of Michael N. Burt, 9-25-25	https://andreaburkhart.substack.com/api/v1/file/d980601e-4539-46f1-9f82-16ca8535b13a.pdf
Affidavit/Declaration Rule 8 Declaration of Richard G. Novak, 9-25-25	https://andreaburkhart.substack.com/api/v1/file/fcef7e1e-0d8b-4719-a382-f44f380b16ab.pdf
Motion Pro Hac Vice to Admit Michael N. Burt, 9-25-25	https://andreaburkhart.substack.com/api/v1/file/04b4bdef-7773-4ac9-9830-a3ddae4f85e9.pdf
Motion Pro Hac Vice to Admit Richard G. Novak, 9-25-25	https://andreaburkhart.substack.com/api/v1/file/5d7398b3-f6e4-42dd-a0a6-d719fa27fc6c.pdf
Order Admitting Michael N. Burt Pro Hac Vice, 9-26-25	https://andreaburkhart.substack.com/api/v1/file/4ebb4802-a92a-4c22-8b76-173a618dc35c.pdf
Order Findings of Fact and Conclusions of Law Regarding Appointment of Rule 8 Counsel, 9-27-25	https://andreaburkhart.substack.com/api/v1/file/b7951b82-052a-42f7-8bbd-715e4faf5868.pdf
Order Admitting Richard G. Novak Pro Hac Vice, 9-27-25	https://andreaburkhart.substack.com/api/v1/file/99b9f3de-4371-4db5-a957-c770aeeaeb4f.pdf
Supplemental Exhibit to Motion and Consent of Sponsoring Local Counsel for Pro Hac Vice Admission of Out of State Counsel Michael N. Burt, 9-28-25	https://andreaburkhart.substack.com/api/v1/file/8e18e9dd-966e-4b4b-ac42-292e1b747f53.pdf
Supplemental Exhibit to Motion and Consent of Sponsoring Local Counsel for Pro Hac Vice Admission of Out of State Counsel Richard G. Novak, 9-28-25	https://andreaburkhart.substack.com/api/v1/file/cf06cc47-adf9-412f-ae7a-88c300c8143b.pdf
Supplemental Exhibit to Rule 8 Declaration of Michael N. Burt, 9-28-25	https://andreaburkhart.substack.com/api/v1/file/1bc8f49b-a8cc-4585-a741-c9a0bf19ae3e.pdf
Supplemental Exhibit to Rule 8 Declaration of Richard G. Novak, 9-28-25	https://andreaburkhart.substack.com/api/v1/file/3394a3a2-6a29-47f4-b6c9-795eb3675e44.pdf
Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25	https://andreaburkhart.substack.com/api/v1/file/64ea8c52-3263-4546-bb20-0b8e84ddca12.pdf
Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25	https://andreaburkhart.substack.com/api/v1/file/74a72add-92b7-47e6-a32e-4649a5992d2b.pdf
Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25	https://andreaburkhart.substack.com/api/v1/file/451541a4-d71e-43df-b2b9-7322bb688209.pdf
Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25	https://andreaburkhart.substack.com/api/v1/file/4ff5ca32-d4fb-433b-a2f2-6dce59a84a6c.pdf
Appearance of Counsel/Notice of Limited Appearance of Counsel, 9-30-25	https://andreaburkhart.substack.com/api/v1/file/2f39b1cf-e5b8-49d5-9fc2-bffd1529fc3b.pdf
Request for Discovery, 9-30-25	https://andreaburkhart.substack.com/api/v1/file/26bc3b24-7536-403d-9a99-f4c48cf2a373.pdf
Telephonic Conference, 10-1-25	https://andreaburkhart.substack.com/api/v1/file/b4cf5290-71e5-4491-be01-45a5a8422e18.pdf
Telephonic Conference, 10-1-25	https://andreaburkhart.substack.com/api/v1/file/7036d3e3-5ebc-480c-ab8d-d74ae1e2a454.pdf
Request and Order for Electronic Media Coverage of Court Proceedings, 9-29-25	https://andreaburkhart.substack.com/api/v1/file/a9ba24be-f672-42d5-afd9-62a1b4a2dc7d.pdf
Request for Audio Recording, 10-6-25	https://andreaburkhart.substack.com/api/v1/file/bcaecd49-8a97-44b1-ad9f-89299e143a35.pdf
Copy of Video/Audio Record (completed), 10-8-25	https://andreaburkhart.substack.com/api/v1/file/6903bbde-de6a-4e8c-b9c6-ab7375432e44.pdf
Motion to Preserve Evidence, 10-8-25	https://andreaburkhart.substack.com/api/v1/file/213c1939-16c4-428a-90bb-3121cfe74dec.pdf
Motion Permission to File Overlength Motion to Appear in Civilian Clothes and Without Restraints, 10-9-25	https://andreaburkhart.substack.com/api/v1/file/8edc4b88-8a8f-4db1-97eb-89f3d689e142.pdf
