plane_key,phrase,aliases,page_key,page_file_path,url_path,page_level,aircraft_type,operator_owner,category,autolink_terms,link_enabled,notes
N1098L,N1098L,AXLE10;AXEL10;N911PV;HADES jet;HADES ISR jet;Army spy plane;spy plane;Global 6500 spy plane;the ISR jet,Planes_N1098L,site/docs/Planes/N1098L/overview.mdx,/Planes/N1098L/overview,3,Bombardier Global 6500 (G6500),LASAI Aviation II LLC / Leidos — US Army HADES ISR program,ISR / Surveillance,N1098L;N911PV,yes,Central ISR aircraft; low-altitude passes near UVU Sept 10 2025. Departed Biggs Army Airfield that morning. Previously registered N911PV.
AXLE10,AXLE10,AXEL10;AXLE 10;AXEL 10;callsign AXLE10,Planes_N1098L,site/docs/Planes/N1098L/overview.mdx,/Planes/N1098L/overview,3,Bombardier Global 6500 (G6500),LASAI Aviation II LLC / Leidos,ISR / Surveillance,AXLE10;AXEL10,yes,"Callsign row for tail N1098L — same aircraft, separate lookup phrase."
N2100L,N2100L,AXLE21;AXEL21;LASAI sister ship;N1098L sister ship,Planes_N2100L,site/docs/Planes/N2100L/overview.mdx,/Planes/N2100L/overview,3,Bombardier Global 6500 (G6500),LASAI Aviation (Leidos-associated),ISR / Surveillance,N2100L;AXLE21;AXEL21,yes,Fleet-mate of N1098L; catalogued as a sister ship not independently observed at UVU.
N808LP,N808LP,HADES prototype;first HADES prototype;Bombardier Defense prototype,US_Intelligence_US_Army_HADES,site/docs/US_Intelligence/US_Army_HADES.mdx,/US_Intelligence/US_Army_HADES,3,Bombardier Global 6500 (G6500) — Experimental airworthiness,US Army / Bombardier Defense (Wichita),ISR / Surveillance,N808LP,yes,First HADES prototype airframe; no dedicated Planes page — best target is the HADES program page.
N59906,N59906,MARC survey plane;MARC Inc plane;Piper PA-31;Navajo Chieftain;survey plane,Planes_N59906,site/docs/Planes/N59906/overview.mdx,/Planes/N59906/overview,3,"Piper PA-31-350 (Navajo Chieftain), 1974, s/n 31-7552027",Alpha Whiskey 2 LLC (Brandon MS) — FAA registry; previously reported as MARC Inc.,Survey / Aerial imaging,N59906,yes,Reported four low-altitude camera/LiDAR passes over UVU the morning of Sept 10. Distinct from the similar tail N55906.
N55906,N55906,,Planes_N55906,site/docs/Planes/N55906/overview.mdx,/Planes/N55906/overview,3,"Piper PA-28R-200 (Cherokee Arrow), 1973, s/n 28R-7335308",Private individual (Winter Park FL) — FAA registry,Unconfirmed,N55906,yes,Unresolved tail from open-source flight threads; no confirmed route or operator. Easily confused with N59906.
SU-BTT,SU-BTT,yellow plane;the yellow plane;Egyptian Falcon 7X;Egyptian yellow jet,Planes_SU_BTT,site/docs/Planes/SU-BTT/overview.mdx,/Planes/SU-BTT/overview,3,Dassault Falcon 7X (built 2014),Egyptian government / Egypt Air Force registration,Egyptian / Foreign VIP,SU-BTT,yes,"Lead ""armada"" jet; near Provo Sept 4-10, departed the morning of Sept 10 for Wilmington DE."
SU-BND,SU-BND,blue plane;the blue plane;Egyptian Gulfstream;Gulfstream G550 SU-BND,Planes_SU_BND,site/docs/Planes/SU-BND/overview.mdx,/Planes/SU-BND/overview,3,Gulfstream G550,Egyptian government registration,Egyptian / Foreign VIP,SU-BND,yes,"Reported parked at Provo nearly four months in 2025; transponder on, no takeoff at the moment of the shooting."
SU-BTU,SU-BTU,Egyptian Falcon 7X SU-BTU,Planes_SU_BTU,site/docs/Planes/SU-BTU/overview.mdx,/Planes/SU-BTU/overview,3,Dassault Falcon 7X,Egyptian government / Egypt Air Force registration,Egyptian / Foreign VIP,SU-BTU,yes,Armada member; Provo legs Feb/Mar/May/Aug 2025 tied by researchers to TPUSA Faith-tour stops.
SU-BTV,SU-BTV,Egyptian Falcon 7X SU-BTV,Planes_SU_BTV,site/docs/Planes/SU-BTV/overview.mdx,/Planes/SU-BTV/overview,3,Dassault Falcon 7X,Egyptian government registration,Egyptian / Foreign VIP,SU-BTV,yes,Armada member; recurring 2025 Provo legs clustering before September.
SU-BGM,SU-BGM,Egyptian Gulfstream IV;Gulfstream IV SU-BGM,Planes_SU_BGM,site/docs/Planes/SU-BGM/overview.mdx,/Planes/SU-BGM/overview,3,Gulfstream IV,Egyptian government registration,Egyptian / Foreign VIP,SU-BGM,yes,"Fifth armada tail; spring-2025 Provo legs only (""spring swarm"")."
