directory,description,file_path
After,"Everything after 12:23 PM MDT on September 10, 2025 — the surrender chain, the courtyard being paved over, gag orders, media fights, TPUSA and law-enforcement resignations, the trial, the memorial, and visa enforcement.",site/docs/After/
Amfest,"AmericaFest, TPUSA's flagship Phoenix conference and the stage that recurs most in this case — speaker fights, the July 2025 anchor week, the August 25 flyer, the Candace Owens invitation, and the first AmFest without Charlie Kirk.",site/docs/Amfest/
analysis_documentation,Cross-cutting analysis and documentation pages for the investigation — synthesized write-ups that sit above any single evidence thread rather than covering one topic.,site/docs/analysis_documentation/
Before,"Pre-September 10 context for the UVU event — donor meetings, reported death-warning texts, recon-pattern searches, aircraft movements, the possible Fort Huachuca meeting week, and UVU GRAMA warnings.",site/docs/Before/
cameras,"Every camera thread in the case — UVU CCTV, Ring and WYZE doorbell footage, mobile eyewitness video, TPUSA production cameras, merchant CCTV, and the disputed handling of cameras and SD cards at the scene.",site/docs/cameras/
campus_university,"Utah Valley University and the wider higher-education response — campus policy, university statements, security posture, and how other institutions reacted to the assassination.",site/docs/campus_university/
Cause_of_Death,What actually killed Charlie Kirk. Citizen investigators conclude an explosive device — most likely in the microphone — rather than the .30-06 rifle round of the official account. The site's central evidentiary question.,site/docs/Cause_of_Death/
Censorship,"Suppression of speech about the assassination — X account bans, deleted eyewitness video, court gag orders, TPUSA legal threats, and platform scrubbing of investigation material.",site/docs/Censorship/
Charlie,"Charlie Kirk himself — biography, beliefs, his Israel and Iran-war positions, donor friction, reported warnings he received, and why he was the target. The victim and motive anchor of the case.",site/docs/Charlie/
Companies_Organizations,"Master index of every company, LLC, non-profit, PAC, and government body profiled in the investigation — private security firms, TPUSA entities, U.S. agencies, and foreign government and intelligence bodies.",site/docs/Companies_Organizations/
Consciousness_Control,"Consciousness-control claims bearing on the case — Havana Syndrome, Voice of God and V2K, directed-energy effects, brain-to-brain research, and why an intelligence service would want a shooter who looks unstable.",site/docs/Consciousness_Control/
court,"State of Utah v. Tyler Robinson, case 251403576 — judges, prosecution and defense teams, discovery fights, gag orders, preliminary hearing transcripts, ballistics disputes, and Miranda-timing motions.",site/docs/court/
CoverUp,"Cover-up claims: rapid alteration of the crime scene, withheld records, deleted eyewitness footage, halted foreign-lead inquiries, gag orders, and narrative control. Framed as attributed hypotheses, not proven findings.",site/docs/CoverUp/
Defamation,"Defamation lawsuits arising out of the case — witnesses, security figures, and commentators suing each other, and where civil discovery in those suits could force case facts into the open.",site/docs/Defamation/
distraction_people,"Figures who pulled police, scanners, and cameras toward false leads at UVU — George Zinn, early patsies, crew members near the tent, and people still unidentified. Most were cleared or released.",site/docs/distraction_people/
Drones,"Reported and claimed drone activity around UVU — military ISR platforms, TPUSA B-roll aerials, weaponized-UAS theories, and the disclosure gaps about what was airborne over the campus that day.",site/docs/Drones/
Electrocution,"The B-Field Resonant Cascade hypothesis — an unverified citizen theory that a pulsed electromagnetic discharge through the corded microphone at a prepared resonant site, not a rifle round, killed Charlie Kirk.",site/docs/Electrocution/
FBI,"The FBI's role — federal posture over a state case, ballistics stewardship and the banned CBLA test, witness coordination, press briefings, blocking of other agencies' inquiries, and the open transparency questions.",site/docs/FBI/
Fix,The four proposed federal disclosure laws modeled on the Epstein Files Transparency Act — the reform path this site argues is how the truth actually gets forced out. Public card layout plus each law's full text.,site/docs/Fix/
GoogleSearches,"Google Trends claims of pre-September 10 search interest in case people, places, planes, and institutions from Israel, Washington D.C., and federal corridors. Leads only — Trends cannot show who searched or why.",site/docs/GoogleSearches/
gov,"How government entities handled the physical and documentary evidence — chain of custody, records retention, and the claims about what was altered, withheld, or never collected.",site/docs/gov/
Gov_Mind_Control,"Government behavioral-control programs against the Tyler Robinson patsy and handler theories — MKUltra, Project Artichoke, V2K, platform radicalization, and intelligence tradecraft for manufacturing a lone gunman.",site/docs/Gov_Mind_Control/
government_organizations,"Reference map of the government agencies appearing in the case — federal, state, and local — describing what each does and where it touches the investigation, without adjudicating any of them.",site/docs/government_organizations/
Gun_Bullet,"Weapon and ammunition analysis — the Mauser Model 98 .30-06 narrative, the ATF inconclusive match, energy and trajectory problems, acoustic direction, and why the wound does not fit the claimed round.",site/docs/Gun_Bullet/
Influencers,"The independent podcasters, X researchers, and YouTube creators actually driving this investigation — who is trusted, what each broke, and the censorship pressure they came under.",site/docs/Influencers/
intelligence,"Foreign intelligence threads — Israeli phones clustered at UVU, Egyptian jets, Mossad capability and motive claims, OSINT search patterns, and the halted NCTC review of foreign ties.",site/docs/intelligence/
Iran,"Iran did not kill Charlie Kirk, but his public opposition to a U.S. war with Iran put him against that war's most powerful advocates. Mapped as reported motive claims, not proven fact.",site/docs/Iran/
Israel,"Israel, Israeli policy debate, and pro-Israel donor and advocacy networks as they appear in Charlie Kirk's life and death — the funding pressure, the public fights, and the friction in his final months.",site/docs/Israel/
Israel_Main_Suspect,"Why reporting and citizen investigators name Israel and Mossad as the leading suspect — motive, Israeli presence at UVU, the Iran war push, influence over TPUSA, and the shutdown of foreign-involvement leads.",site/docs/Israel_Main_Suspect/
key_individuals,"Investigative roster of everyone peripheral to the killing, organized by role, linking each name out to its People profile and to the case threads that person appears in.",site/docs/key_individuals/
Killer,"Who actually killed Charlie Kirk — the competing theories investigators are pursuing, and what evidence each rests on. The section that states the alternatives to the official lone-shooter account.",site/docs/Killer/
Law_Enforcement,"Non-FBI government police and prosecutors — UVU campus police, Orem PD, Utah county sheriffs, DPS, plus crime-scene handling, the manhunt, the arrest sequence, and the state prosecution.",site/docs/Law_Enforcement/
laws,"The four federal forced-disclosure laws in full drafting detail — DoJ/FBI disclosure, U.S. intelligence disclosure, mandating the investigation, and trusted investigators — with the discovery list behind each.",site/docs/laws/
Legal,"The legal dimension broadly — court proceedings, evidence handling, gag orders, and the legal investigation into the September 10, 2025 UVU shooting.",site/docs/Legal/
legal_investigation,"Legal proceedings and evidence handling as a process — how records were requested, sealed, produced, or refused, and what the legal machinery has and has not disclosed.",site/docs/legal_investigation/
Locations,"Hyperlinked index of every key place in the case — the UVU courtyard and Losee Center roof, the custody chain, airports, hospitals, courts, the staging house, and disputed property leads.",site/docs/Locations/
maps,"Maps and spatial analysis — the UVU campus geometry, sight lines from the claimed firing position, travel routes, and the geographic reasoning behind trajectory and movement claims.",site/docs/maps/
Media,"How newspapers, broadcast TV, and digital platforms covered the assassination and the Robinson capital case — framing choices, the early 'shot to the heart' description, censorship, and trial press access.",site/docs/Media/
Medical,"Medical and forensic questions — the wound itself, fragments, the Timpanogos hospital transport, the sealed autopsy, the medical examiner report signature dispute, and conflicting witness accounts of the injury.",site/docs/Medical/
meeting,"The likely Fort Huachuca meeting of September 9, 2025 — possibly September 8 — the day before the assassination. HARD RULE: never list any attendee or likely attendee names. Readers are pointed to open-source search terms instead.",site/docs/meeting/
Messages,"Every reported message Charlie Kirk sent or received in the weeks before September 10, 2025 — one page per message, with its source, its channel, and its verification status.",site/docs/Messages/
Mic,"The exploding-mic theory — video and Canon XA55 audio evidence, RODE hardware and its DoD contract, AES procurement, the burnt fragment in the SUV, the AV team, and mic-over-versus-under placement.",site/docs/Mic/
Motive,"Why Charlie Kirk was killed — donor and Israel pressure, the Iran war, reported death warnings, geopolitical intelligence context, TPUSA internal dynamics, and the motives alleged against Tyler Robinson.",site/docs/Motive/
Narrative,"How the story was framed in real time — the 'shot to the heart' description, the wrong-guy and confession framings, media amplification, and the narratives that appeared and then quietly receded.",site/docs/Narrative/
organizations_groups,"Organizations and groups connected to the case beyond the main corporate and government index — advocacy bodies, campus groups, and networks that appear in the record.",site/docs/organizations_groups/
Other,"Cross-cutting topics spanning multiple sections — investigation methodology, miscellaneous evidence leads, and public response.",site/docs/Other/
other_topics,Additional topics and analysis that do not fit the main sections but belong in the investigation record.,site/docs/other_topics/
People,"Profiles of every individual connected to the assassination — the victim, the accused, family members, witnesses, security personnel, officials, and investigators. The site's person-lookup hub.",site/docs/People/
Photos,"Photographic evidence — official and media images, crime-scene stills, comparison photos, and the per-image Level 5 pages generated from the image pipeline.",site/docs/Photos/
Planes,"Aircraft and flight-path evidence — the planes that repeatedly appeared near Charlie Kirk's speaking events, SAM military flights, Egyptian jets, N1098L, erased ADS-B records, and the recovery of that deleted data.",site/docs/Planes/
political_context,"The political environment surrounding the assassination — the Iran war fight, the 2025 political landscape, and the consequences of the killing for the movement Charlie Kirk built.",site/docs/political_context/
Proof_Intel_Services,"The indicators pointing to intelligence-service involvement at UVU — the halted NCTC inquiry, clustered NSA-detectable phones, HADES flights, Egyptian jets, federal-signature behaviors, and the Israel motive.",site/docs/Proof_Intel_Services/
