"page_key","level2","file_path","url_path","title","description","why_interesting","rank","use_count"
"After_Surrender_Custody_Timeline","After","After/Sept_11_Surrender_And_Custody.mdx","/After/Sept_11_Surrender_And_Custody","Sept 11 Surrender and Custody Timeline","Timestamp-by-timestamp map of Tyler Robinson's September 11, 2025 surrender, Miranda timing, Discord messages, and custody-chain disputes.","Bates 003996-R2 bodycam reportedly shows Robinson Mirandized at 6:25 PM — about two hours BEFORE the 8:02 PM call that supposedly first identified him, and before his ~7:57 PM Discord ""confession"" messages.","1","5"
"After_Crime_Scene_Paved","After","After/Site_Changes_And_Crime_Scene_Handling.mdx","/After/Site_Changes_And_Crime_Scene_Handling","Site Changes and Crime-Scene Handling After the UVU Event","Claims that the UVU tent area where Charlie Kirk was struck was torn up and paved within days, destroying trace evidence.","Registry threads claim Hardscape Specialties LLC was dormant ~20 years and revived February 2025, months before the shooting; a work order reportedly issued two days after, no public bidding, finish-by-Monday.","2","5"
"After_FBI_Delete_Request","After","After/Media_Narratives_And_Censorship_After.mdx","/After/Media_Narratives_And_Censorship_After","Media Narratives and Censorship Concerns After the UVU Event","How mainstream and citizen narratives diverged after Sept 10, plus allegations that footage, accounts, and records were deleted or suppressed.","Witness Ryne Simmons says he recorded 4K/60fps UVU footage, sent it to the FBI, and was asked to delete it — a request he says he refused; officials have neither confirmed nor denied it.","3","5"
"After_Gag_Order_Secrecy","After","After/Legal_Process_Gag_Orders_And_Secrecy.mdx","/After/Legal_Process_Gag_Orders_And_Secrecy","Legal Process, Gag Orders, and Hearing Secrecy","Gag orders, closed hearings, sealed ATF ballistics, and discovery fights in State v. Tyler Robinson, case 251403576.","Reporting cited here says the ATF comparison of the autopsy bullet jacket to the Mauser 98 came back INCONCLUSIVE — and the defense moved in March 2026 to seal that report, opposed by a press coalition.","4","5"
"After_Institutional_Resignations","After","After/Institutional_Resignations.mdx","/After/Institutional_Resignations","Institutional Resignations After the Shooting","Leadership departures after September 10, 2025 — sheriff, UVU president, judges, FBI SAC, hospital CEO — and the timing questions raised.","Former NCTC director Joe Kent has said the foreign-nexus review was halted around October 28, 2025 before its leads were exhausted; the sheriff and UVU's president both resigned in 2026.","5","5"
"After_Israel_Trends_Spike","After","After/overview.mdx","/After/overview","After Events","Hub for everything after 12:23 PM Sept 10, 2025, including the W 925 S block thread and the Israel-region Google Trends claim.","A Google Trends chart for ""645 W 925 S"" filtered to the region Israel is reportedly flat for five years except one spike to 100 in April 2022 — for a house on the same Orem block.","6","5"
"After_House_Staging_Site","After","After/house/overview.mdx","/After/house/overview","The House at 691 W 925 S, Orem (Alleged Staging Site)","Hub page for the citizen allegation that the attack was planned or staged from a house just north of the UVU campus.","The house at the center of the staging allegation is owned outright by Utah Valley University itself — the very institution hosting the event — not by a private family.","7","5"
"After_Ring_Challenger_Court","After","After/house/w-925-south-block.mdx","/After/house/w-925-south-block","West 925 South Block — Neighbors, Ring Video & Court Record","Maps the 600–700 block of West 925 South: court-admitted Ring video, the Palantir rumor, and the UVU-owned house.","Court-admitted Ring/Nest video from 680 W 925 S reportedly shows a grey Dodge Challenger parking across the street at 00:30:08 on Sept 11 — the same block as the alleged staging house.","8","5"
"After_Tactical_Comms_Mast","After","After/house/comms-antenna-mast.mdx","/After/house/comms-antenna-mast","The RETCON13 5G Comms Mast at the UVU Construction Site","An unverified citizen claim that the mast at the UVU construction site on Sept 10 is a police/military tactical communications antenna.","A citizen investigator claims the telescoping mast standing at the UVU construction site on the day of the assassination matches the RETCON13 5G antenna sold for police and military special-operations vehicles.","9","5"
"After_Staging_Allegation","After","After/house/staging-allegation.mdx","/After/house/staging-allegation","The Staging Allegation — 691 W 925 S","States the staging claim verbatim, marks it unverified, and lists exactly what would confirm or kill it.","The entire allegation is a single unsourced line in the master investigation file — no date, no evidence, no chain of custody — yet the address sits a quarter-mile from the shooting site.","10","5"
"After_UVU_Bought_House","After","After/house/ownership.mdx","/After/house/ownership","691 W 925 S — Ownership on Record","Board and county records showing Utah Valley University purchased the house in 2019 for $900,000 from the Theobald family.","UVU's own board called the house ""contiguous to campus"" and paid $900,000 — above the $755,000 assessed value — saying it could be used for ""hosting events or housing campus visitors.""","11","5"
"After_Neighborhood_Cameras","After","After/house/neighborhood-reports.mdx","/After/house/neighborhood-reports","691 W 925 S — Neighborhood, Cameras & Witness Reports","The ATF/police door-to-door Ring canvass, the homeowner whose camera caught the suspect, and three separate grey Challenger claims.","Three different grey Dodge Challenger sightings get merged in commentary — an 8:29 a.m. campus arrival, court-admitted 00:30 Ring video at 680 W, and an unproduced citizen clip at the alleged staging house.","12","5"
"After_Command_Center_Video","After","After/house/citizen-investigation-coverage.mdx","/After/house/citizen-investigation-coverage","691 W 925 S — Citizen Investigation Coverage","Log of citizen posts and videos alleging the Orem house was a command center, with the skeptical replies recorded alongside.","A widely shared walkthrough claims box trucks and a dumpster formed a barricade at the property the morning of 9/10, and that the site has a clear line of sight to the Losee Center roof.","13","5"
"After_GRAMA_Requests","After","After/house/records-requests.mdx","/After/house/records-requests","691 W 925 S — Records You Can Request (GRAMA)","Ready-to-file Utah GRAMA request templates that would confirm or kill the staging lead, with addresses and deadlines.","Because the alleged staging house is owned by a public university, its lease, key-issuance, and occupancy records for September 2025 are legally requestable by any citizen within 10 business days.","14","5"
"After_Visa_Revocations","After","After/Visa-Revocation-Celebrations.mdx","/After/Visa-Revocation-Celebrations","Visa Revocations After Online Celebrations","Documented pattern of visa revocations, deportations, and firings targeting people who celebrated Charlie Kirk's death online.","Reuters reportedly counted 600-plus workplace actions over Kirk-related posts, alongside State Department visa revocations — an enforcement wave with little public record of its criteria.","15","5"
"After_Investigation_Index","After","After/Investigation_Index.mdx","/After/Investigation_Index","After Investigation Index","Routing index of every post-shooting thread with condensed timelines for the first evening, the custody chain, and the trial arc.","Lead investigator Hull reportedly testified at the preliminary hearing that he was never consulted about paving over the courtyard where Charlie Kirk was struck.","16","5"
"After_House_Deed_Chain","After","After/house/deed-chain.mdx","/After/house/deed-chain","691 W 925 S — Full Deed Chain","Every recorded title instrument for the parcel, from the Broderick era through the May 24, 2019 warranty deed to UVU.","Earlier investigators were reading an obsolete parcel serial (36:214:0001, dead since 1993); the live serial 36:443:0006 names Utah Valley University as owner of record with a campus mailing address.","17","5"
"After_House_Location_Facts","After","After/house/location-and-property.mdx","/After/house/location-and-property","691 W 925 S — Location and the Property Itself","Physical facts about the alleged staging house and its true distance from the UVU campus.","The house is about a quarter-mile from campus, not the three miles aggregators imply — UVU's board itself called the 7,486 sq ft, six-bedroom property ""contiguous to campus.""","18","5"
