overlap_id,date,foreign_tail,claimed_airport,city,state,subject,audit_verdict,existing_adsb_verdict,my_verdict,agrees,note_cites_date,note_uses_wrong_day,correction_action,sources,closest_km,closest_agl,ground_at_claimed,ground_airports_that_day,evidence,detail,existing_km,existing_note,overlap_page
OWENS-001,2022-10-05,SU-BTT,KJFK,New York,NY,Erika,inaccurate,NO_ARCHIVE_COVERAGE,NO_ARCHIVE_COVERAGE,yes,,,,,,,,,"2022 is an archive RETENTION BOUNDARY (control aircraft 0 of 56 hits, both archives) - this date cannot be tested at all",,,"SAYS NOTHING EITHER WAY. No free ADS-B archive reaches 2022-10-05 or the day either side for SU-BTT; the control probe returns NOT_COVERED for unrelated aircraft on the same dates, so this is an archive limit and not suppression.",site/docs/Planes/following/overlap/20221005_NY_new_york_owens_001/overview.mdx
OWENS-002,2022-10-20,SU-BTT,KORD,Chicago,IL,Erika,inaccurate,NO_ARCHIVE_COVERAGE,NO_ARCHIVE_COVERAGE,yes,,,,,,,,,"2022 is an archive RETENTION BOUNDARY (control aircraft 0 of 56 hits, both archives) - this date cannot be tested at all",,,"SAYS NOTHING EITHER WAY. No free ADS-B archive reaches 2022-10-20 or the day either side for SU-BTT; the control probe returns NOT_COVERED for unrelated aircraft on the same dates, so this is an archive limit and not suppression.",site/docs/Planes/following/overlap/20221020_IL_chicago_owens_002/overview.mdx
OWENS-003,2022-11-01,SU-BTT,KBOS,Boston,MA,Erika,inaccurate,NO_ARCHIVE_COVERAGE,NO_ARCHIVE_COVERAGE,yes,,,,,,,,,"2022 is an archive RETENTION BOUNDARY (control aircraft 0 of 56 hits, both archives) - this date cannot be tested at all",,,"SAYS NOTHING EITHER WAY. No free ADS-B archive reaches 2022-11-01 or the day either side for SU-BTT; the control probe returns NOT_COVERED for unrelated aircraft on the same dates, so this is an archive limit and not suppression.",site/docs/Planes/following/overlap/20221101_MA_boston_owens_003/overview.mdx
OWENS-004,2022-11-13,SU-BTT,KICT,Wichita,KS,Erika,accurate,NO_ARCHIVE_COVERAGE,NO_ARCHIVE_COVERAGE,yes,,,,,,,,,"2022 is an archive RETENTION BOUNDARY (control aircraft 0 of 56 hits, both archives) - this date cannot be tested at all",,,"SAYS NOTHING EITHER WAY. No free ADS-B archive reaches 2022-11-13 or the day either side for SU-BTT; the control probe returns NOT_COVERED for unrelated aircraft on the same dates, so this is an archive limit and not suppression.",site/docs/Planes/following/overlap/20221113_KS_wichita_owens_004/overview.mdx
OWENS-005,2022-11-17,SU-BTT,KILG,Wilmington,DE,Erika,inaccurate,NO_ARCHIVE_COVERAGE,NO_ARCHIVE_COVERAGE,yes,,,,,,,,,"2022 is an archive RETENTION BOUNDARY (control aircraft 0 of 56 hits, both archives) - this date cannot be tested at all",,,"SAYS NOTHING EITHER WAY. No free ADS-B archive reaches 2022-11-17 or the day either side for SU-BTT; the control probe returns NOT_COVERED for unrelated aircraft on the same dates, so this is an archive limit and not suppression.",site/docs/Planes/following/overlap/20221117_DE_wilmington_owens_005/overview.mdx
OWENS-006,2022-12-20,SU-BTT,KSTL,St. Louis,MO,Erika,accurate,NO_ARCHIVE_COVERAGE,NO_ARCHIVE_COVERAGE,yes,,,,,,,,,"2022 is an archive RETENTION BOUNDARY (control aircraft 0 of 56 hits, both archives) - this date cannot be tested at all",,,"SAYS NOTHING EITHER WAY. No free ADS-B archive reaches 2022-12-20 or the day either side for SU-BTT; the control probe returns NOT_COVERED for unrelated aircraft on the same dates, so this is an archive limit and not suppression.",site/docs/Planes/following/overlap/20221220_MO_st_louis_owens_006/overview.mdx
OWENS-007,2022-12-27,SU-BTT,KBGR,Bangor,ME,Erika,accurate,NO_ARCHIVE_COVERAGE,NO_ARCHIVE_COVERAGE,yes,,,,,,,,,"2022 is an archive RETENTION BOUNDARY (control aircraft 0 of 56 hits, both archives) - this date cannot be tested at all",,,"SAYS NOTHING EITHER WAY. No free ADS-B archive reaches 2022-12-27 or the day either side for SU-BTT; the control probe returns NOT_COVERED for unrelated aircraft on the same dates, so this is an archive limit and not suppression.",site/docs/Planes/following/overlap/20221227_ME_bangor_owens_007/overview.mdx
OWENS-008,2023-01-15,SU-BTT,KATL,Atlanta,GA,Erika,inaccurate,NO_ARCHIVE_COVERAGE,NO_ARCHIVE_COVERAGE,yes,,,,,,,,,no trace on disk and no recorded query for this tail on this date,,,"SAYS NOTHING EITHER WAY. No free ADS-B archive reaches 2023-01-15 or the day either side for SU-BTT; the control probe returns NOT_COVERED for unrelated aircraft on the same dates, so this is an archive limit and not suppression.",site/docs/Planes/following/overlap/20230115_GA_atlanta_owens_008/overview.mdx
OWENS-009,2023-02-10,SU-BTT,KILG,Wilmington,DE,Erika,inaccurate,NO_ARCHIVE_COVERAGE,NOT_HEARD,NO,,,,,,,,,"both free archives were ASKED for this exact date and hold nothing (adsb-lol,airplanes-live). Not evidence of absence.",,,"SAYS NOTHING EITHER WAY. No free ADS-B archive reaches 2023-02-10 or the day either side for SU-BTT; the control probe returns NOT_COVERED for unrelated aircraft on the same dates, so this is an archive limit and not suppression.",site/docs/Planes/following/overlap/20230210_DE_wilmington_owens_009/overview.mdx
OWENS-010,2023-04-01,SU-BTT,KSTL,St. Louis,MO,TPUSA,accurate,AT_CLAIMED_AIRPORT,CONSISTENT_LOW_OVER_CLAIMED_METRO,yes,2023-04-01,,,"adsb-lol,adsbexchange-samples,adsblol-github-backup,airplanes-live",0.41,3357,no,,"closest 0.41 km from KSTL at 3357 ft AGL - low over the claimed metro, no landing recorded","SU-BTT adsb-lol: closest 0.48km to KSTL at 15:55:15Z (alt 3975, AGL 3357), on-ground that day: none ; SU-BTT adsbexchange-samples: closest 0.56km to KSTL at 15:55:07Z (alt 3975, AGL 3357), on-ground that day: none ; SU-BTT adsblol-github-backup: closest 0.48km to KSTL at 15:55:15Z (alt 3975, AGL 3357), on-ground that day: none ; SU-BTT airplanes-live: closest 0.41km to KSTL at 15:55:13Z (alt 3975, AGL 3357), on-ground that day: none",0.48,"CONFIRMS THE AIRCRAFT ONLY, NOT THE OVERLAP. SU-BTT tracked 2023-04-01, closest approach 0.48 km to KSTL at 2023-04-01T15:55:15.160Z, airborne (both archives agree). Last fix KSUS/SUS (Spirit of St Louis Airport, St Louis MO) 3.21km. This locates the aircraft; it does not place Charlie or Erika Kirk anywhere.",site/docs/Planes/following/overlap/20230401_MO_st_louis_owens_010/overview.mdx
