page_key,parent_key,level,level2_parent,level2_section,page_type,url_path,file_path,title,sidebar_label,directory,extension,has_frontmatter,line_count,description
After_Institutional_Resignations,After,3,After,After,topic,/After/Institutional_Resignations,site/docs/After/Institutional_Resignations.mdx,Institutional Resignations After the Shooting,Institutional Resignations,After,mdx,yes,341,"Leadership changes after September 10, 2025 — Nate Brooksby, UVU President Tuminez, judges, FBI SAC, and hospital CEO — timing and transparency questions."
After_Investigation_Index,After,3,After,After,index,/After/Investigation_Index,site/docs/After/Investigation_Index.mdx,After Investigation Index,Investigation Index,After,mdx,yes,236,"Index of every post-12:23 PM Sept 10 2025 development — surrender, paving, gag orders, media, resignations, trial, memorial, and visa enforcement."
After_Orders_And_Secrecy,After,3,After,After,topic,/After/Legal_Process_Gag_Orders_And_Secrecy,site/docs/After/Legal_Process_Gag_Orders_And_Secrecy.mdx,"Legal Process, Gag Orders, and Hearing Secrecy (As Reported and Claims)","Legal Process, Gag Orders, and Hearing Secrecy (As Reported and Claims)",After,mdx,yes,285,"This Level3 page expands on post‑event legal developments that have attracted public attention, including:"
After_And_Censorship_After,After,3,After,After,topic,/After/Media_Narratives_And_Censorship_After,site/docs/After/Media_Narratives_And_Censorship_After.mdx,Media Narratives and Censorship Concerns After the UVU Event (Claims),Media Narratives and Censorship Concerns After the UVU Event (Claims),After,mdx,yes,316,This Level3 page focuses on how media coverage and information‑control debates evolved in the days and weeks after the UVU shooting. It examines:
After_Sept_11_Surrender,After,3,After,After,topic,/After/Sept_11_Surrender_And_Custody,site/docs/After/Sept_11_Surrender_And_Custody.mdx,Sept 11 Surrender and Custody Timeline,Sept 11 Surrender,After,mdx,yes,278,"The September 11, 2025 surrender of Tyler Robinson — Miranda timing, Brooksby call narrative, Discord messages, and custody chain disputes."
After_Crime_Scene_Handling,After,3,After,After,topic,/After/Site_Changes_And_Crime_Scene_Handling,site/docs/After/Site_Changes_And_Crime_Scene_Handling.mdx,Site Changes and Crime‑Scene Handling After the UVU Event (Claims),Site Changes and Crime‑Scene Handling After the UVU Event (Claims),After,mdx,yes,309,"This Level3 page summarizes claims and concerns about how the physical site at Utah Valley University was treated in the days after the shooting, including…"
Visa_Revocation_Celebrations,After,3,After,After,topic,/After/Visa-Revocation-Celebrations,site/docs/After/Visa-Revocation-Celebrations.mdx,Visa Revocations After Online Celebrations,Visa Revocation Celebrations,After,mdx,yes,286,Documented pattern of visa revocations and deportations targeting foreign nationals who celebrated Charlie Kirk's death online — with backlash and transparency questions.
After,Home,2,,After,overview,/After/overview,site/docs/After/overview.mdx,After Events,After Events,After,mdx,yes,249,"Post-12:23 PM Sept 10 2025 developments — surrender, paving, gag orders, media, resignations, trial, memorial, and visa enforcement."
House_Staging_Site,After,3,After,After,overview,/After/house/overview,site/docs/After/house/overview.mdx,"The House at 691 W 925 S, Orem (Alleged Staging Site)",The House (Alleged Staging Site),After/house,mdx,yes,355,"A citizen-investigation allegation holds that attackers may have planned or staged the Charlie Kirk assassination from a house at 691 W 925 S, Orem, UT 84058. What the property is, who owns it on record, and how the claim should be weighed."
House_Location_Property,House_Staging_Site,4,After,After,topic,/After/house/location-and-property,site/docs/After/house/location-and-property.mdx,691 W 925 S — Location and the Property Itself,Location & the Property,After/house,mdx,yes,218,"What the house at 691 W 925 S, Orem, UT 84058 physically is: size, bed/bath count, year built, lot size, and its true location — UVU's own board records call it 'contiguous to campus,' one block north of the Losee Center area."
House_Ownership,House,4,After,After,topic,/After/house/ownership,site/docs/After/house/ownership.mdx,691 W 925 S — Ownership on Record,Ownership on Record,After/house,mdx,yes,267,"Who owns 691 W 925 S, Orem: Utah Valley University bought the house in 2019 for $900,000 from the Theobald family, per its own board records. The prior county record, the deed chain, and why no one is accused."
House_Neighborhood_Witnesses,House_Staging_Site,4,After,After,topic,/After/house/neighborhood-reports,site/docs/After/house/neighborhood-reports.mdx,"691 W 925 S — Neighborhood, Cameras & Witness Reports",Neighborhood & Witnesses,After/house,mdx,yes,212,"What is publicly reported about the streets around 691 W 925 S, Orem: the ATF/police door-to-door canvass for Ring footage, the homeowner whose camera caught the suspect, and the grey Challenger — as reported, with no accusation of any resident."
