tail,faa_type,faa_year,faa_serial,faa_registered_owner,faa_status,seats,in_production,comparable_new_aircraft,new_cost_today_usd,new_cost_today_display,cost_basis,site_page,role_in_case
N102DZ,Gulfstream Aerospace G-V (Gulfstream V),1998,555,ELDERBERRY CHESTNUT LLC (Cheyenne WY),Valid,20,no — GV built 1995-2002; successor G550 ended 2021,Gulfstream G600,58800000,~$58.8 million,"Gulfstream V is out of production. Nearest in-production Gulfstream by cabin size and range is the G600 at ~$58.8M list. Gulfstream's current large-cabin line brackets it: G500 ~$45M to G650ER ~$78M.",site/docs/Planes/N102DZ/overview.mdx,Charlie Kirk's Sept 10 2025 inbound aircraft; the tail Erika Kirk invited the public to check
N1098L,Bombardier BD-700-1A10 (Global 6500),2023,60098,LASAI AVIATION II LLC (Manassas VA),Valid,23,yes,Bombardier Global 6500 (same type),58000000,~$56-58 million,"Global 6500 remains in production. Manufacturer list ~$56-58M for a green airframe; the HADES ISR mission fit-out is a separate government cost not in that figure.",site/docs/Planes/N1098L/overview.mdx,US Army HADES ISR jet; low passes near UVU Sept 10 2025
N2100L,Bombardier BD-700-1A10 (Global 6500),2023,60100,LASAI AVIATION II LLC (Manassas VA),Valid,23,yes,Bombardier Global 6500 (same type),58000000,~$56-58 million,Same type as N1098L; current production list price.,site/docs/Planes/N2100L/overview.mdx,LASAI fleet sister ship to N1098L
N9PS,Bombardier BD-700-1A10 (Global 6000),2012,9526,LASAI AVIATION II LLC (Manassas VA),Valid,,no — Global 6000 succeeded by Global 6500,Bombardier Global 6500,58000000,~$56-58 million,Global 6000 out of production; the 6500 is its direct in-production replacement.,site/docs/Planes/LASAI-Fleet/overview.mdx,Third Global in the LASAI Aviation II fleet
N808LP,Bombardier BD-700-1A10 (Global 6500),2023,60116,BOMBARDIER AEROSPACE CORP — registration cancelled 2025-05-05,Deregistered,,yes,Bombardier Global 6500 (same type),58000000,~$56-58 million,Same type as N1098L.,site/docs/US_Intelligence/US_Army_HADES.mdx,Reported HADES prototype airframe
N159L,Bombardier CL-600-2B16 (Challenger 650),2020,6159,LASAI AVIATION LLC (Manassas VA),Valid,,yes,Bombardier Challenger 650 (same type),32000000,~$32 million,Challenger 650 remains in production at ~$32M list.,site/docs/Planes/LASAI-Fleet/overview.mdx,LASAI Aviation fleet aircraft
N488CR,Bombardier CL-600-2B16 (Challenger 650),2019,6140,LASAI AVIATION LLC (Manassas VA),Valid,,yes,Bombardier Challenger 650 (same type),32000000,~$32 million,Challenger 650 remains in production at ~$32M list.,site/docs/Planes/LASAI-Fleet/overview.mdx,LASAI Aviation fleet aircraft
N291AS,Raytheon B300 (King Air 350),2001,FL-332,LASAI AVIATION LLC (Reston VA),Valid,,no — B300 succeeded by King Air 360,Beechcraft King Air 360,8400000,~$8.4 million,King Air 360 is the direct in-production successor; ~$8.4M new ($8.9M for the 360ER).,site/docs/Planes/LASAI-Fleet/overview.mdx,LASAI Aviation King Air fleet
N35GA,Raytheon B300 (King Air 350),2004,FL-413,LASAI AVIATION LLC (Reston VA),Valid,,no,Beechcraft King Air 360,8400000,~$8.4 million,King Air 360 successor pricing.,site/docs/Planes/LASAI-Fleet/overview.mdx,LASAI Aviation King Air fleet
N405WK,Raytheon B300 (King Air 350),2004,FL-405,LASAI AVIATION LLC (Reston VA),Valid,,no,Beechcraft King Air 360,8400000,~$8.4 million,King Air 360 successor pricing.,site/docs/Planes/LASAI-Fleet/overview.mdx,LASAI Aviation King Air fleet
