evidence_key,thesis_ids,kind,title,held,location,tier,page_links,note
prelim_transcript_day4,T1;T2;T9,transcript,Certified Preliminary Hearing Day 4 (2026-07-09) 278pp,yes,site/docs/court/legal_docs/_markdown/transcripts/2026-07-09_Official_Certified_Transcript_Preliminary_Hearing_Day_4.md,T1,/court/Preliminary_Hearing/overview,Davis + Faumuina + Karner. The only T1 source for those three.
prelim_transcript_day5,T1;T2,transcript,Certified Preliminary Hearing Day 5 (2026-07-10) 97pp,yes,site/docs/court/legal_docs/_markdown/transcripts/2026-07-10_Official_Certified_Transcript_Preliminary_Hearing_Day_5.md,T1,/court/Preliminary_Hearing/overview,Caitlin Oliver only.
prelim_transcript_day1_3,T1;T2;T5;T9,transcript,Certified Preliminary Hearing Days 1-3 (2026-07-06/07/08),no,CONFIRMED GAPS item E,T1 if obtained,-,HIGHEST-VALUE ACQUISITION. Would upgrade a large number of T3 claims to T1 in one step. Bagley Hull Bakker Mitchell all sit here.
sealed_hearing_audio_20251024,T2;T9,external,Redacted audio of the 2025-10-24 sealed motion hearing,no,CONFIRMED GAPS item F,T2 if obtained,/court/ai_attorney/hearing-audio-and-transcript-release,ORDERED RELEASED BY JUDGE GRAF ~mid-Jan 2026. No published copy exists anywhere. Audio is ~$15/half-day vs ~$250/court-hour for transcription.
ballistics_motion_apr2026,T1,filing,Defense motion to stop further testing of the bullet jacket fragment,yes,site/docs/court/legal_docs/_markdown/tyler-robinson-ballistics-motion.md,T2,/court/ballistics-atf-cbla,29pp. Exactly the right instinct about exactly the right piece of evidence.
atf_comparison_result,T1,exhibit,ATF jacket-fragment comparison - INCONCLUSIVE,partial,in the record via Karner Day 4 testimony,T1,/court/ballistics-atf-cbla,In the record because the DEFENSE called the examiner.
state_exhibit_list_20260506,T2;T9,filing,State's Preliminary Hearing Witness and Exhibit List with Bates numbers,yes,site/docs/court/legal_docs/_markdown/2026/189_2026-05-06_State_s_Preliminary_Hearing_Witness_and_Exhibit_List.md,T2,/court/ai_attorney/exhibit-production-and-bates-audit,Names 34 exhibits. We hold ZERO as documents. Exhibits 17 18 26 27 28 29 absent from the State's own list.
state_34_exhibits,T2;T9,exhibit,The 34 preliminary-hearing exhibits themselves in Bates form,no,CONFIRMED GAPS item H,T2 if obtained,/court/ai_attorney/exhibit-production-and-bates-audit,What exists publicly is 59 PNG screenshots of exhibits on the courtroom feed. A screenshot of a projected exhibit is not the exhibit.
medical_examiner_report,T1,exhibit,Medical Examiner report Ex. 11 Bates 1682 disclosed 2025-11-13,no,sealed - CONFIRMED GAPS item L,T4,/court/ai_attorney/independent-autopsy-review,The autopsy report is sealed. The medical examiner has not testified.
search_warrant_set,T1;T2,filing,25 search-warrant affidavits 3212261-3229461,partial,site/docs/court/legal_docs/_markdown/warrants/,T2,/court/ai_attorney/crime-scene-warrant-gap-suppression,NO WARRANT FOR THE UVU SCENE ITSELF. 19-day ~12000-number gap. Nothing after 2025-10-06. See CONFIRMED GAPS item G.
state_expert_notice,T1;T2;T9,filing,State's Utah Code 77-17-13 expert notice,no,does not appear anywhere on the 867-row docket,T2,/court/ai_attorney/state-expert-notice-exclusion,A grep of all 867 rows for expert returns two hits both defense. See CONFIRMED GAPS item I.
soil_excavation_workorder,T2,record_demand,Excavation work order and hauling manifest for the courtyard soil,no,custodian unknown,-,/court/ai_attorney/soil-excavation-subpoena,Perishable in the strongest sense: the soil itself is gone.
lab_request_log,T1;T2,record_demand,The list of laboratory tests actually ordered,no,State / federal laboratory,-,/court/ai_attorney/explosive-residue-testing,The single cheapest document that would settle whether a residue panel was ever requested.
microphone_hardware,T1;T4,exhibit,The microphone and transmitter themselves plus serial number,no,custodian unknown,-,/court/ai_attorney/microphone-hardware-subpoena,The serial number is the hinge of the whole procurement chain.
av_procurement_chain,T4,record_demand,Purchase orders contract vehicles funding source delivery and custody for the AV equipment,no,private vendors - REACHABLE,-,/court/ai_attorney/av-procurement-chain-subpoena,Ordinary subpoena duces tecum against private parties. No agency need waive anything.
campus_camera_inventory,T9,record_demand,Full UVU camera inventory retention schedule and VMS export log,no,Utah Valley University - REACHABLE,-,/court/ai_attorney/campus-camera-inventory-and-retention,The VMS export log is the hinge: it records who exported what and when.
cad_dispatch_record,T5,record_demand,CAD incident record radio log and unit assignment for the operational period,no,dispatch authority - REACHABLE,-,/court/ai_attorney/dispatch-and-cad-records,Machine-generated contemporaneous and written by nobody for litigation.
bwc_activation_metadata,T5,record_demand,Body-worn camera activation and deactivation metadata,no,agency - REACHABLE,-,/court/ai_attorney/detention-and-release-records,A separate artefact from the footage. Survives when footage does not.
rental_agreements_window,T6,record_demand,Rental agreements and telematics tracks in the window,no,private rental companies - REACHABLE,-,/court/ai_attorney/rental-vehicle-subpoenas,Telematics retention is often weeks to months. That window has closed.
fbo_ground_handling,T6,record_demand,FBO ramp fuel handling and ramp-camera records,no,private FBOs - REACHABLE,-,/court/ai_attorney/fbo-and-ground-handling-records,The fuel uplift ticket is signed timestamped and kept as an accounting record.
adsb_recovered_traces,T6,dataset,Recovered ADS-B traces with .meta.json provenance sidecars,yes,site/docs/Planes/*/data/recovered/,T2,/court/ai_attorney/adsb-authentication-and-custody,In-repo. Authentication route is Utah R. Evid. 901(b)(9) and 902(13)/(14).
csli_25253,T7,dataset,At least 25253 CSLI location records inside the discovery corpus,no,in State discovery - never filed. CONFIRMED GAPS item L,T4,/court/ai_attorney/cell-site-and-tower-dump-discovery,The question is not the records. It is which subset was analysed and who decided.
university_property_records,T8,record_demand,Occupancy keying booking access utility and parking records for the property,no,Utah Valley University - REACHABLE,-,/court/ai_attorney/university-property-records-subpoena,Also reachable by GRAMA. The utility consumption series shows occupancy with no witness.
halted_inquiry_testimony,T3,external,Testimony of the official who publicly stated his foreign-nexus inquiry was halted,no,the official has already spoken publicly,-,/court/ai_attorney/nctc-halted-inquiry-subpoena,The most grantable request in the foreign-nexus family: a subpoena to a person about his own public statement.
discovery_corpus_121tb,T2;T7;T9,dataset,The discovery corpus itself - 45 productions 29237 files 12.1 TB 40 agencies,no,governed by the 2025-10-15 Order For Discovery Protection,T4,/court/discovery-brady-disputes,Will never be filed. CONFIRMED GAPS item L.
