url_path,file_path,extension,level,level2,csv_level2,is_overview,title,sidebar_label,description,media_kind,media_src,media_cid,media_alt,media_shape,banned,anchor,teaser
/Topic-Analyses,site/docs/Topic-Analyses.mdx,mdx,2,Topic-Analyses,,no,Topic Analyses,Topic Analyses,"Focused deep-dive analyses of the Charlie Kirk assassination — pre-event context, day-of timeline, ballistics claims, and political aftermath.",none,,,,none,no,CK_AUTHOR_CREDIT,"Four cross-cutting essays distilled out of the old legacy write-ups &mdash; the week before, the day itself, the technical fight, and the political wake. Read it when you want the argument without the boilerplate."
/Topics,site/docs/Topics.mdx,mdx,2,Topics,,no,Investigation Topics,Investigation Topics,This document provides a comprehensive list of all 128 topics related to the Charlie Kirk assassination investigation.,none,,,,none,no,CK_AUTHOR_CREDIT,
/maps/overview,site/docs/maps/overview.mdx,mdx,2,maps,,yes,Maps,Maps,This page explains how maps and spatial analysis are used in the investigation of the Charlie Kirk case. It focuses on key locations (such as the UVU campus…,image,/img/evidence/9cc6832ff6f2ec5c2bcfea899c17dfcaaeeaabe83635dc2a240fbd63c549ae03.jpg,QmSE7Z8WEPAa21pP23DVVNDWyc2z9q5XiwZnuGPPGvAx9X,"This is a 3D aerial map visualization, likely sourced from Google Earth or a similar satellite imagery platform, illustrating a suburban neighborhood adjacent to a large…",ck-4sq-stack,no,CK_AUTHOR_CREDIT,Every map on this site is anchored to one point &mdash; the tent. The geometry drawn out from there is what drives the cause-of-death analysis.
/maps/wooded-area-rifle-recovery,site/docs/maps/wooded-area-rifle-recovery.mdx,mdx,3,maps,Maps,no,Wooded Area Map — Rifle Recovery and the Same-Morning Arrest,Wooded Area & Rifle Recovery,"An annotated aerial map of the UVU campus places the shot location, the escape sequence, and the wooded area where the rifle was announced found. A circulated claim notes Russell Kennington's trespass arrest happened the same morning.",image,/img/evidence/344cb658f368fd6edf926ae43051835915b01eaae4802cc9217a05dadad06402.jpg,QmeC75N2hAYoTaVMu7Ac3B16pNAskkhmCLMPXja2J7UqDe,"Annotated aerial map of the Utah Valley University campus with red numbered markers 2 through 9 and white arrows tracing a movement sequence. Labels read Utah Valley University, Campus Drive, Parking garage, Losee Center, Charlie Kirk, Where shot was taken at marker 7, and Wooded area at marker 9.",ck-4sq-stack,no,CK_AUTHOR_CREDIT,
/Censorship/Censorship_Investigation_Index,site/docs/Censorship/Censorship_Investigation_Index.mdx,mdx,3,Censorship,Censorship,no,Censorship Investigation Index,Censorship Investigation Index,"Working memo for Charlie Kirk censorship threads — X bans, FBI video deletion, gag orders, TPUSA legal threats, and platform scrubbing.",none,,,,none,no,CK_AUTHOR_CREDIT,"The routing memo for every suppression thread in this case &mdash; platform, court, witness and search &mdash; each one attributed rather than asserted. Censorship does not prove a cover-up by itself; it explains the gaps in what survived."
/Censorship/Court_Gag_Orders,site/docs/Censorship/Court_Gag_Orders.mdx,mdx,3,Censorship,Censorship,no,Court Gag Orders,Court Gag Orders,Reported broad gag orders in State v. Tyler Robinson — Judge Tony Graf Dec 16 2025 own-motion order and witness silencing claims.,none,,,,none,no,CK_AUTHOR_CREDIT,"A gag order issued on the court&apos;s own motion, requested by neither side, restricting what parties and counsel may say. Lawful censorship, and a shaping force on everything published since."
/Censorship/Google_Search_Trends_Scrubbing,site/docs/Censorship/Google_Search_Trends_Scrubbing.mdx,mdx,3,Censorship,Censorship,no,Google Search & Trends Scrubbing,Google Search & Trends,"Claims of post-event Google Trends deletion, UVU search scrubbing, and low visibility for whoassassinatedcharliekirk.com.",none,,,,none,no,CK_AUTHOR_CREDIT,"The censorship section&apos;s record of vanishing graphs: campus scout terms, case names, and the archives researchers keep because live results shift. This is framed as record loss, not merely ranking."
/Censorship/Platform_YouTube_Meta,site/docs/Censorship/Platform_YouTube_Meta.mdx,mdx,3,Censorship,Censorship,no,Platform — YouTube & Meta,YouTube & Meta,"Reported age restrictions, demonetization, and strikes on Charlie Kirk investigation videos — plus Meta violence-policy removals.",image,/img/evidence/1e76a564eed0fa7b424f1629bd804d99ebf2a9b2ef15d93c9cdd896dac87d1be.jpg,QmdCAj1yU5FWD135DfsAoQYs9QQkFwca2e2MzQ6cBFY8Mv,"This is a satellite map image of a suburban residential neighborhood, likely sourced from Google Maps or a similar mapping service.",ck-4sq-stack,no,CK_PLACED_IMAGES,"Age restrictions, demonetization and strikes on investigation videos, plus violence-policy removals at Meta. Ordinary enforcement or narrative pressure &mdash; the page documents the cases and lets you judge."
/Censorship/Ryne_Simmons_FBI_Video,site/docs/Censorship/Ryne_Simmons_FBI_Video.mdx,mdx,3,Censorship,Censorship,no,Ryne Simmons — FBI Video Deletion,Ryne Simmons FBI Video,Witness Ryne Simmons reportedly sent 4K 60fps close-up footage to the FBI and was instructed to delete it — per @ninoboxer amplification.,image,/img/evidence/74d287dc55bcd553d96b155bf4b607d05884545659a0a6594cab16639015817d.jpg,QmUGj177H9J5PJvorsqGXTMgXq2nbw6ZA1MVpkJ4vERGYD,"This image is a screenshot of a social media post on X (formerly Twitter) by user Sam Parker, featuring a vertical video frame.",ck-4sq-stack,no,CK_PLACED_IMAGES,"A witness says he sent the FBI close-up 4K 60fps footage of the moment Charlie Kirk was killed, then was called repeatedly and asked to delete it. He says he kept a copy. Deletion over preservation is a transparency question, not yet a court finding."
/Censorship/TPUSA_Legal_Threats,site/docs/Censorship/TPUSA_Legal_Threats.mdx,mdx,3,Censorship,Censorship,no,TPUSA Legal Threats,TPUSA Legal Threats,"Reported cease-and-desist and legal pressure from TPUSA against citizen investigators — drone footage, Project Constitution, and insider chill.",image,/img/evidence/7e52025f00faeb9544d89460b555223a067ce0637bbcaddf0d1aacaf2787e02b.jpg,QmPHvYUGua8nSsedUAYEKQRarycx7E5kYFX5fR7QcnDpHt,A high-contrast digital screenshot of a post from the social media platform X (formerly Twitter) by user Tyler Bowyer (@tyle...).,ck-4sq-stack,no,CK_PLACED_IMAGES,Reported cease-and-desist letters and legal pressure aimed at citizen investigators over drone footage and insider material. Legal risk is its own form of reach suppression.
